id	repositorio	commit	ruta	url	blob_git	sha256	bytes	acceso	consulta_utc
F01	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	AGENTS.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/AGENTS.md	42221257270146fa94a25e8aca20a2c364c077b7	d79c5a325a3a7996ab408fe97c94db6d6ff04faea8dcd3b2bf84cd38282f6104	4384	público; HTTP 200 sin autenticación	2026-09-17T16:30:41.8561051Z
F02	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/PILARES_Y_RESTRICCIONES_DE_DISENO_DEL_LENGUAJE_DE_COMPUTACION_SV_2026_09_05.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/PILARES_Y_RESTRICCIONES_DE_DISENO_DEL_LENGUAJE_DE_COMPUTACION_SV_2026_09_05.md	044f89f7c826f0ba52c58ee8ff19572e7b3b2187	d3c9f7d7a3c3626f7fe75917d89d067cd7d281178f857a9d693ca945a7144755	25563	público; HTTP 200 sin autenticación	2026-09-17T16:30:42.7435693Z
F03	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/ACTA_TECNICA_DE_PERFILES_CONTRATOS_Y_ENSAMBLAJE_DEL_LENGUAJE_SV_2026_09_06.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/ACTA_TECNICA_DE_PERFILES_CONTRATOS_Y_ENSAMBLAJE_DEL_LENGUAJE_SV_2026_09_06.md	1df9b818f3f531f628fe0e89dd2c497b5da52d4d	38673267da27fae204f81689aaaf4cb0fd123e7f2e4a3384850c44762c0c06d8	29014	público; HTTP 200 sin autenticación	2026-09-17T16:30:43.3276096Z
F04	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/dominios/inmunologia/ACTA_DE_CONFORMIDAD_DE_TRANSICION_SECUENCIAL_DESDE_OP-IMM-001_AL_LENGUAJE_SV_2026_09_03.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/dominios/inmunologia/ACTA_DE_CONFORMIDAD_DE_TRANSICION_SECUENCIAL_DESDE_OP-IMM-001_AL_LENGUAJE_SV_2026_09_03.md	44f8fda87856ab16007195cab324d40a758e506a	b625b2f1ad0db01d38779edcb5033447543da319106ffc1089be1cc1648e9871	67111	público; HTTP 200 sin autenticación	2026-09-17T16:30:43.9807418Z
F05	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/tuberias-ia/continuacion-15-09-2026/ACTA_001_CONTINUIDAD_Y_RUMBO_2026_09_15.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/tuberias-ia/continuacion-15-09-2026/ACTA_001_CONTINUIDAD_Y_RUMBO_2026_09_15.md	c98311dc7c3dd701d329e40ce8ca4bd0f347696a	d92924b9e81233b02902f44a990d04df1fea6c7843de961c703b718f4dca5173	22770	público; HTTP 200 sin autenticación	2026-09-17T16:30:44.6647175Z
F06	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/tuberias-ia/continuacion-15-09-2026/inicio.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/tuberias-ia/continuacion-15-09-2026/inicio.md	cbd290ab815c7b94996054c881bc3b30fe7d74aa	ab23daf479d5b997c8f8a410c52906e24df3146c815ca74143effac955848316	12041	público; HTTP 200 sin autenticación	2026-09-17T16:30:45.3447762Z
F07	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/tuberias-ia/continuacion-15-09-2026/PARTE_ALCANCE_PRIVACIDAD_SEGURIDAD_Y_OP_CYB_001_2026_09_15.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/tuberias-ia/continuacion-15-09-2026/PARTE_ALCANCE_PRIVACIDAD_SEGURIDAD_Y_OP_CYB_001_2026_09_15.md	cf373e1ceb084ad231c11fb68b887e9e4782ca17	f6b9edd632bb2d8636096c1cbf6a2b02189e9f87b7e0a8969a89fa75603de4df	78662	público; HTTP 200 sin autenticación	2026-09-17T16:30:46.0962838Z
F08	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/Inventario-sv/sucesos/SUCESOS_SV.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/Inventario-sv/sucesos/SUCESOS_SV.md	c3086204056f9f2176765bbc8484e1c34a83e1eb	f7adf7d5fdbc6e2744f51b06c495a8695e0490c9c92c183d6a39b3785d2a6dfe	86579	público; HTTP 200 sin autenticación	2026-09-17T16:30:47.0183482Z
F09	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/Inventario-sv/sucesos/SUCESOS_SV.csv	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/Inventario-sv/sucesos/SUCESOS_SV.csv	15f6a2c3e94f89fa6abbcf7c577685da0f317359	6d28779417e75c194d48010e2cd961e2cf29bf8c1df986a731fd913df8743354	74710	público; HTTP 200 sin autenticación	2026-09-17T16:30:48.4776362Z
F10	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/Inventario-sv/sucesos/HISTORIAL_SUCESOS_SV.csv	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/Inventario-sv/sucesos/HISTORIAL_SUCESOS_SV.csv	1a9a5623bb07bcdcab8df191cf185e1d5da92677	ccc277589a8143aae0c2e52162a9a7b49758fa6020748f283ffa7a690a36a574	332350	público; HTTP 200 sin autenticación	2026-09-17T16:30:50.0923224Z
F11	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md	dc44a59a886c884e0ad7dd636bf06a9a778ef36c	28f9024e0fd2ce5f6a4cbe7938b88debc9eb03d971cab8b36112ca8a696ce8bc	374061	público; HTTP 200 sin autenticación	2026-09-17T16:30:50.9332725Z
F12	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.csv	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.csv	97b7ed43234d7d9fdc7079ab5d7ba10a873b86e8	e6fa3e9f8d11ffb1fb57ef16cd0f1e21a96912506134a278970926a5c3d4a114	331944	público; HTTP 200 sin autenticación	2026-09-17T16:30:51.9634307Z
F13	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/tuberias-ia/frame-significado-humano-trazabilidad-y-fidelidad/LEAME_PRIMERO.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/tuberias-ia/frame-significado-humano-trazabilidad-y-fidelidad/LEAME_PRIMERO.md	b5017a5563d5e662d24e351e4d6512760eda4e60	79c5eaaf0ef3acf3120e6343a88480c85100aec75cba590fd93520332fe6ec91	48040	público; HTTP 200 sin autenticación	2026-09-17T16:30:52.8295747Z
F14	SV-lenguaje-de-computacion	bdb094958da5be00d2c24864c333deaa4f0636cc	docs/calidad/tuberias-ia/continuacion-15-09-2026/PROCEDIMIENTO_ENCARGOS_Y_RESPUESTAS_2026_09_17.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/tuberias-ia/continuacion-15-09-2026/PROCEDIMIENTO_ENCARGOS_Y_RESPUESTAS_2026_09_17.md	11d38a471a55a3979e57528353b7ed60625a1239	3f601d5f54ad4debfc71fce70377ba5bc33b75f2a5db8bcab333a1b95d8f0b40	5290	público; HTTP 200 sin autenticación	2026-09-17T16:30:53.4734979Z
F15	SVcustos-dataset	206c405184a33884cdf0d19017b8f31d0f398340	docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/MANDATO_PUBLICO.md	https://raw.githubusercontent.com/juantoniolloretegea/SVcustos-dataset/206c405184a33884cdf0d19017b8f31d0f398340/docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/MANDATO_PUBLICO.md	7f1b6dedb111a1933060b5f8216e811eb92de9d5	892db4d88f91b49548d6c54342104265a61f1d772ab82317d70f38236ceeb866	20453	público; HTTP 200 sin autenticación	2026-09-17T16:36:50.4565711Z
